Bird,Black_Sunflower,Striped_Sunflower,Hulled_Sunflower,Millet,Milo,Nyjer,Peanuts,Safflower,Corn
Cardinals,3,3,3,1,0,0,0,3,1
Chickadees,3,2,2,0,0,0,2,2,0
Doves,2,1,2,3,3,1,0,2,2
Goldfinches and Purple Finches,3,2,3,1,0,3,0,0,0
Grosbeaks ,2,2,3,0,0,0,0,1,0
House Finches,3,2,3,2,0,3,0,1,0
Jays,3,3,3,0,1,0,2,1,2
Juncos ,1,1,1,1,0,1,0,0,3
Nuthatches,3,2,2,0,0,0,1,1,0
Siskins,1,1,3,0,0,3,0,0,1
Sparrows,3,3,3,3,2,0,0,1,2
Titmice,3,2,2,0,0,1,2,1,0
Towhees,3,3,3,1,0,0,1,1,1
Woodpeckers,2,2,3,0,0,0,1,1,1
